,Postcode,Neighbourhood,Borough,Postal Code,Latitude,Longitude
0,M1B,"Rouge, Malvern",Scarborough,M1B,43.806686299999996,-79.19435340000001
1,M1C,"Highland Creek, Rouge Hill, Port Union",Scarborough,M1C,43.7845351,-79.16049709999999
2,M1E,"Guildwood, Morningside, West Hill",Scarborough,M1E,43.7635726,-79.1887115
3,M1G,Woburn,Scarborough,M1G,43.7709921,-79.21691740000001
4,M1H,Cedarbrae,Scarborough,M1H,43.773136,-79.23947609999999
5,M1J,Scarborough Village,Scarborough,M1J,43.7447342,-79.23947609999999
6,M1K,"East Birchmount Park, Ionview, Kennedy Park",Scarborough,M1K,43.7279292,-79.26202940000002
7,M1L,"Clairlea, Golden Mile, Oakridge",Scarborough,M1L,43.711111700000004,-79.2845772
8,M1M,"Cliffcrest, Cliffside, Scarborough Village West",Scarborough,M1M,43.716316,-79.23947609999999
9,M1N,"Birch Cliff, Cliffside West",Scarborough,M1N,43.692657000000004,-79.2648481
10,M1P,"Dorset Park, Scarborough Town Centre, Wexford Heights",Scarborough,M1P,43.7574096,-79.27330400000001
11,M1R,"Maryvale, Wexford",Scarborough,M1R,43.750071500000004,-79.2958491
12,M1S,Agincourt,Scarborough,M1S,43.7942003,-79.26202940000002
13,M1T,"Clarks Corners, Sullivan, Tam O'Shanter",Scarborough,M1T,43.7816375,-79.3043021
14,M1V,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",Scarborough,M1V,43.8152522,-79.2845772
15,M1W,L'Amoreaux West,Scarborough,M1W,43.799525200000005,-79.3183887
16,M1X,Upper Rouge,Scarborough,M1X,43.836124700000006,-79.20563609999999
17,M2H,Hillcrest Village,North York,M2H,43.8037622,-79.3634517
18,M2J,"Fairview, Henry Farm, Oriole",North York,M2J,43.7785175,-79.3465557
19,M2K,Bayview Village,North York,M2K,43.7869473,-79.385975
20,M2L,"Silver Hills, York Mills",North York,M2L,43.7574902,-79.37471409999999
21,M2M,"Newtonbrook, Willowdale",North York,M2M,43.789053,-79.40849279999999
22,M2N,Willowdale South,North York,M2N,43.7701199,-79.40849279999999
23,M2P,York Mills West,North York,M2P,43.752758299999996,-79.4000493
24,M2R,Willowdale West,North York,M2R,43.7827364,-79.4422593
25,M3A,Parkwoods,North York,M3A,43.7532586,-79.3296565
26,M3B,Don Mills North,North York,M3B,43.745905799999996,-79.352188
27,M3C,"Flemingdon Park, Don Mills South",North York,M3C,43.72589970000001,-79.340923
28,M3H,"Bathurst Manor, Downsview North, Wilson Heights",North York,M3H,43.7543283,-79.4422593
29,M3J,"Northwood Park, York University",North York,M3J,43.7679803,-79.48726190000001
30,M3K,"CFB Toronto, Downsview East",North York,M3K,43.737473200000004,-79.46476329999999
31,M3L,Downsview West,North York,M3L,43.7390146,-79.5069436
32,M3M,Downsview Central,North York,M3M,43.7284964,-79.49569740000001
33,M3N,Downsview Northwest,North York,M3N,43.7616313,-79.52099940000001
34,M4A,Victoria Village,North York,M4A,43.725882299999995,-79.31557159999998
35,M4B,"Woodbine Gardens, Parkview Hill",East York,M4B,43.7063972,-79.309937
36,M4C,Woodbine Heights,East York,M4C,43.695343900000005,-79.3183887
37,M4E,The Beaches,East Toronto,M4E,43.67635739999999,-79.2930312
38,M4G,Leaside,East York,M4G,43.7090604,-79.3634517
39,M4H,Thorncliffe Park,East York,M4H,43.7053689,-79.34937190000001
40,M4J,East Toronto,East York,M4J,43.685347,-79.3381065
41,M4K,"The Danforth West, Riverdale",East Toronto,M4K,43.6795571,-79.352188
42,M4L,"The Beaches West, India Bazaar",East Toronto,M4L,43.6689985,-79.31557159999998
43,M4M,Studio District,East Toronto,M4M,43.6595255,-79.340923
44,M4N,Lawrence Park,Central Toronto,M4N,43.7280205,-79.3887901
45,M4P,Davisville North,Central Toronto,M4P,43.7127511,-79.3901975
46,M4R,North Toronto West,Central Toronto,M4R,43.7153834,-79.40567840000001
47,M4S,Davisville,Central Toronto,M4S,43.7043244,-79.3887901
48,M4T,"Moore Park, Summerhill East",Central Toronto,M4T,43.6895743,-79.38315990000001
